State,Average_Baseline_Absolute_Diff,Average_Model_Absolute_Diff,Average_Suicide_Rate,State_Abbreviation,Relative_Improvement
Alaska,9.232331398085478,0.8432515481492935,19.406357133728505,AK,43.22851420350218
West Virginia,3.462490345570145,2.1701802627555815,6.870195203817775,WV,18.81038375876751
South Dakota,6.020183656993456,3.2350805472883,19.601405319495274,SD,14.208690980616238
Montana,11.593805013520976,9.221613638657523,21.076771206075346,MT,11.25500367997387
Nebraska,1.1261378854618678,0.2485067701536785,8.253403606122465,NE,10.63356594674654
Idaho,2.4103766635268062,1.1272129077995903,13.106007152185365,ID,9.790653559297459
Arizona,1.2319510416737272,0.5436823273219646,8.90474635254457,AZ,7.729234355508472
Kentucky,1.0994632861460536,0.514950431704281,7.632397749328133,KY,7.658312284540284
Virginia,1.080689527515489,0.5181411432156771,7.652554000611898,VA,7.3511194335228565
Oklahoma,1.8298505375973466,0.9950122357459286,11.599453002550215,OK,7.197221297141111
Mississippi,2.0090503781675064,1.5989999873320508,5.779289694951395,MS,7.095169345701127
Connecticut,1.4562078109035355,1.1509341339047177,4.310034737763098,CT,7.082858853180715
Iowa,0.8165547597469525,0.2707256103879958,7.9378534780692505,IA,6.876281489283932
Utah,2.282843096826122,1.5689809312888752,10.69277326951254,UT,6.676118042946124
Alabama,2.286524662814447,1.9774528059655294,6.580828289353763,AL,4.6965494806926245
Georgia,1.2159385071949913,0.9065215169352521,7.932144959684177,GA,3.900798483038047
California,0.5642040686058394,0.3978086717962306,4.283536090539028,CA,3.884533555749033
Ohio,1.154380017926007,0.9180381403148372,6.350956399851236,OH,3.7213588431611013
New York,0.6148031182361258,0.5005657628842513,3.0935795804694957,NY,3.6927239911034495
Wisconsin,1.6249557478738823,1.387598812736769,6.568781039193697,WI,3.6134091503565817
Washington,0.9342874355050497,0.6258619379123602,8.570706240304121,WA,3.598600733068006
North Carolina,1.1621009305278247,0.9251478733421497,7.139871942114803,NC,3.318729791048471
Arkansas,3.091142550827755,2.843695393362958,8.22981436130123,AR,3.006716149374634
Illinois,1.0456032790139633,0.8807496289192471,5.762856117474268,IL,2.860624085249033
Indiana,2.092347590273623,1.9057071817340039,9.094289260633065,IN,2.0522814173894757
Texas,0.36018168894573943,0.2199417335910061,7.505174963738272,TX,1.86857676246472
Missouri,1.532305032938977,1.4542549355237129,7.838875586231112,MO,0.9956797573411938
Maryland,0.15073278963093317,0.10006065673552555,5.37392205010447,MD,0.9429264589802254
Pennsylvania,1.3109092592059128,1.3140873766272207,5.531043141633576,PA,-0.05745963898537349
Louisiana,0.4791254331595094,0.5048419767047392,7.292815021781075,LA,-0.3526284907600633
Nevada,1.1385052789833017,1.2683292157804011,9.47945902906653,NV,-1.3695289615053445
Tennessee,0.6920830397326143,0.8528458354565402,7.008467307111193,TN,-2.29383670750389
Massachusetts,0.9122475343786038,0.9987943702357092,3.402520517075346,MA,-2.543609521905164
Florida,0.8306268476019718,0.9880065557410802,5.686249877210165,FL,-2.767724098264977
Maine,1.1506930635546935,1.4806675263717612,7.95085484959395,ME,-4.150175912643149
Michigan,0.8270409157240786,1.199076033614022,6.3665841060154005,MI,-5.843559304249668
Colorado,0.7140531992266688,1.562879707477391,13.357858372482074,CO,-6.354510465535043
Kansas,0.3253423231800694,1.1785153078047736,11.32582162803981,KS,-7.5329897701414295
Oregon,1.10202669956593,1.7015961298154387,7.798450394279895,OR,-7.688314984849919
South Carolina,0.2110725780079532,1.0088678051986881,8.587397906340076,SC,-9.290302323148701
Minnesota,0.8649017037517122,1.5045019918761282,6.451519831864529,MN,-9.913947485139602
New Mexico,0.8841622523853774,2.3031629975715147,13.513207915097052,NM,-10.500842983410472
New Jersey,0.7462559827127,1.2369515042416288,3.27892070823619,NJ,-14.965153634132424
North Dakota,3.0030651143652562,6.499725645481427,11.011960908257489,ND,-31.75329589568508
