Feature,Importance
Prev_Year_Suicide_Rate,0.6607710247678611
drug_policy,0.06400504790680585
anxiety,0.022590159248059155
failed_test,0.01722875242821398
suicide,0.017200919010464652
trans,0.014584196677446029
Cutting,0.013287590738775971
poisoning,0.012754220396084707
Fitting_in,0.01163340137906005
hell,0.011347990415148005
guilty,0.009246943403028157
tylenol,0.008170282927124168
antidepressants,0.007644860629833467
hanging,0.007282592818825794
alcohol,0.007150409437797284
coming_out,0.0065771642620491115
queer,0.0064253861044409975
Histrionic,0.006300829725923436
Narcissistic_personality,0.00619921003045824
therapy_near_me,0.00593473894969918
single,0.005671403403717734
Bullying,0.005317330923437544
homophobia,0.005217327438872714
tie_a_noose,0.005078738590776586
conversion_therapy,0.005019815833860526
jumping,0.004894685725539731
overdose,0.0048187016995567935
anorexia,0.004812961533617492
crazy_ex,0.004747884253015319
exgirlfriend,0.004635877039545392
Narcissistic_personality_disorder,0.004619334458472204
no_friends,0.00453148216063687
Borderline_personality,0.004406748523905012
bipolar,0.004116727585810327
Avoidant_personality_disorder,0.0036729733083648917
weed,0.0035981673253118597
fast_death,0.0025442615964919937
transphobia,0.0023744128960629237
family_stress,0.0023619878515253856
self-injury,0.0004071874673040938
I_hate_my_parents,0.0003858343043877381
suicidal_friend,0.00027534465881622186
painless_death,0.0001550901638713999
