Feature,Importance,Std
Prev_Year_Suicide_Rate,9.981650800194995,1.933695292420283
Obsessive_compulsive,2.243672813423046,0.7861907567668353
suicide,0.44253040830663637,0.11174993636761593
drug_policy,0.1682987125613424,0.2107907719212416
guns,0.11388287730977466,0.033586977212021724
conversion_therapy,0.09346057457623455,0.05585447076928907
gender_dysphoria,0.08886188290338325,0.04271325422091034
trans,0.08462668122169768,0.12646613462297976
hell,0.08246082477347158,0.055838960285288376
molestation,0.07661614362526258,0.05924949232703168
Divorce,0.0535984594317535,0.02042482134187379
firearms,0.05300607648301581,0.045461696180388415
anxiety,0.04927098224644825,0.12591766724311787
child_abuse,0.04657905174495802,0.07480217482889523
tie_a_noose,0.04003304243411119,0.030103699569972234
Borderline_personality,0.035826746065493874,0.012405018284168701
advil,0.033216213731427933,0.020980415189725835
Narcissistic_personality,0.03321468780697788,0.0074172842911384524
alcohol,0.03259767875402382,0.020025466488540464
Paranoid,0.03247385140534202,0.020630189972911668
Antisocial_personality_disorder,0.03151746350438233,0.004902131982491931
faith,0.029504006103902084,0.051595693781647384
family_stress,0.026049747389095844,0.012561621676324816
exgirlfriend,0.02452493786115732,0.01608633951881638
therapy_near_me,0.02228621919517971,0.049446769836882135
illegal_drugs,0.021282407542219446,0.006813809817921558
Antisocial,0.02121422915900002,0.0074735262527265926
time_to_die,0.020825437766101757,0.01737197176711078
hanging,0.018116185772923968,0.008851823350979013
tylenol,0.016654119835856237,0.009895427286257292
Suicide_hotline,0.015049505104622352,0.18767061407468447
Antisocial_personality,0.014488394269609017,0.007552166040922073
i_want_to_die,0.013902654227425159,0.01545796965787973
smoking,0.013448902460843055,0.010224211637148761
fast_death,0.01328758440012668,0.005963860426916264
moving,0.012701055250727547,0.013327341937674765
coming_out,0.01181747138095967,0.012236231792438736
sin,0.010502443712178433,0.01641890539146808
depression,0.010227930938942779,0.013130685141069695
gay,0.009881228940272043,0.012343699145448753
Coping_with_stress,0.009587336477497358,0.006927290796476847
weed,0.009481972576614546,0.011796242457267994
anorexia,0.008558310422091549,0.02227164919291035
Paranoid_personality,0.00838133739542967,0.0032504376375508256
Narcissistic_personality_disorder,0.00808027251813733,0.01698604879664582
Avoidant,0.007751805884687742,0.011428069140143576
Histrionic,0.0074354433318564025,0.008076443654508306
Eating_disorder,0.006461998209932614,0.022644426153743787
no_friends,0.006438669494671423,0.01626095153845258
Paranoid_personality_disorder,0.005885796572542231,0.0031026978696533955
antidepressants,0.005838841992859815,0.024535010119923203
bipolar,0.005702231682661226,0.041076164176257826
Borderline_personality_disorder,0.005423418463190692,0.011441548359099394
Avoidant_personality,0.005381616550279075,0.0036538915507728803
jumping,0.005361532206364424,0.017754367475517268
single,0.005000474404690358,0.012604821777051467
Dependent_personality_disorder,0.004947100628814649,0.0066199408098759184
ptsd,0.004906239889929509,0.011052338397530222
Abusive_parents,0.004212776173036925,0.0034080168244629955
ocd,0.00406893083514263,0.007637267198108388
parents_divorce,0.0037143145924682782,0.006841710753462996
sad_music,0.003651450231405769,0.023509180151180076
crazy_ex,0.0035292958723256145,0.007987814544337057
breakup,0.003227957858072076,0.015623363920421659
feeling_alone,0.003173895790101522,0.0042622873677689715
Obsessive_compulsive_personality,0.002428964621791104,0.0016766690526169106
Cutting,0.0017857625083584534,0.027811546883671746
Dependent,0.0017204104777131116,0.004569274743483969
drugs,0.0014990534670555,0.041099371873380634
abuse,0.0013565351484618423,0.009341544890471148
angry_father,0.0011515832187009541,0.0005693848470286624
self-injury,0.0007035357734627822,0.001398231522227706
suicidal_friend,0.0006916873808298085,0.0008903504726397882
hospital_visit,0.0006244624975934994,0.00862538345957613
self_harm,0.0005838609771616691,0.022774467202906688
Obsessive_compulsive_personality_disorder,0.00048121099373338674,0.002116586992223284
disappointment,0.00043051493480718387,0.006773553661130956
Narcissism,0.000353835537441712,0.015514005797124447
painless_death,0.00032133454467431953,0.0004097722432658864
how_long_does_it_take_to_bleed_out,0.00023823579250977409,0.0005209077475090254
miss_my_ex,0.0001798945314824311,0.007007803258295185
academic_stress,-0.0001539090563904703,0.001573995861980383
parents_hate_me,-0.00024404742157069966,0.00037132572454950024
queer,-0.0002499632694922186,0.013235534204424342
I_hate_my_parents,-0.00028857425745953215,0.0008701087055369373
tylenol_overdose,-0.0003884746237201142,0.005295973811400773
how_to_do_better_in_school,-0.00044711407416695435,0.0010007022022942179
Cant_sleep,-0.0005368645838451277,0.0006842691355071726
noose,-0.0006678611911322463,0.00461236770493506
stress,-0.0008896030098898204,0.00751434278643346
Dependent_personality,-0.0013497837282545908,0.0016108948151377506
friends_hate me,-0.0014204437235656306,0.001953440858430884
lonely,-0.0015478444762155874,0.007379567539290751
bulemia,-0.001566244060399343,0.0037872530361082565
Avoidant_personality_disorder,-0.0019188051326016974,0.013523596124827997
hope,-0.0019356300813256528,0.011333909939726525
exboyfriend,-0.0020019818251458747,0.006667286489244373
feeling_sad,-0.002906035938236773,0.009374948264623043
marijuana,-0.0033575053732736097,0.019846803755182107
Borderline,-0.0034972963955938853,0.0033674188476200064
worthless,-0.004123627004053975,0.010714655634157091
overdose,-0.004367682598487536,0.0075438193519850125
existential_crisis,-0.004435959020788202,0.01155796501736234
Bullying,-0.00504384256473133,0.006025540548868745
Jesus,-0.006830458172051153,0.02402207160404069
im_stupid,-0.007342592675180951,0.0041248268482036625
Histrionic_personality_disorder,-0.007923772873448077,0.013920058526616767
Histrionic_personality,-0.008273974893387059,0.004252813842991224
mental_health,-0.009096612834186649,0.010220953989334343
transphobia,-0.009555274337191121,0.005194984806475342
failure,-0.01051204542818501,0.015096371216995157
School_stress,-0.012528278992925804,0.01698910570668582
guilty,-0.013894961203928762,0.02294900541201164
gender_identity,-0.013992691933569971,0.01485545593696349
trauma,-0.017820494869392522,0.022364568992505003
sexual_abuse,-0.021483384913826273,0.054985374332787156
kill_yourself,-0.024122597206027763,0.02531845122576952
therapy,-0.03005842755734438,0.013679665468810364
homophobia,-0.030070290586412942,0.008069181295752563
kill_myself,-0.03423729442310884,0.06816987148638323
carbon_monoxide_poisoning,-0.04771231164038567,0.023313858512512213
cigarettes,-0.04798686473497247,0.03504817987767718
failed_test,-0.04871184138383331,0.03336907718724031
lesbian,-0.05038133406655734,0.05106590887573432
poisoning,-0.07204830856030009,0.03732563542892646
Fitting_in,-0.07432810864668037,0.041028620455064814
suicide_attempt,-0.07652704352904607,0.037113324197488994
hate_myself,-0.09970603873551616,0.06821078275670779
how_to die,-0.15560666170682103,0.061684089980373294
