Year,State,Dependent_personality_disorder,therapy_near_me,suicidal_friend,Narcissism,gender_identity,Paranoid,no_friends,weed,sad_music,kill_myself,lesbian,self_harm,parents_divorce,tylenol_overdose,exboyfriend,miss_my_ex,anxiety,feeling_alone,noose,disappointment,conversion_therapy,marijuana,Borderline_personality_disorder,drugs,overdose,how_long_does_it_take_to_bleed_out,parents_hate_me,suicide,carbon_monoxide_poisoning,smoking,sin,moving,hate_myself,Divorce,guns,Histrionic_personality,Fitting_in,Narcissistic_personality,kill_yourself,painless_death,hospital_visit,breakup,tylenol,Jesus,single,failed_test,Narcissistic_personality_disorder,mental_health,suicide_attempt,Bullying,exgirlfriend,Antisocial,poisoning,bulemia,angry_father,lonely,antidepressants,guilty,family_stress,bipolar,gay,Histrionic,feeling_sad,illegal_drugs,advil,jumping,failure,Antisocial_personality_disorder,homophobia,drug_policy,how_to die,Suicide_hotline,Borderline_personality,Obsessive_compulsive_personality,Paranoid_personality,self-injury,Paranoid_personality_disorder,worthless,Avoidant_personality_disorder,alcohol,coming_out,Dependent_personality,crazy_ex,child_abuse,firearms,existential_crisis,I_hate_my_parents,hope,Cant_sleep,abuse,trauma,Antisocial_personality,Dependent,Borderline,trans,Histrionic_personality_disorder,academic_stress,Eating_disorder,Obsessive_compulsive,time_to_die,gender_dysphoria,hanging,ptsd,therapy,faith,molestation,Avoidant_personality,Abusive_parents,i_want_to_die,cigarettes,Coping_with_stress,Obsessive_compulsive_personality_disorder,ocd,anorexia,how_to_do_better_in_school,Avoidant,depression,friends_hate me,transphobia,sexual_abuse,im_stupid,Cutting,stress,tie_a_noose,fast_death,queer,School_stress,hell,Suicide Rate
2004,Alabama,31.0,0,0,23.0,0.0,15.0,0.0,67,14.0,13.0,68,0.0,0.0,17.0,41.0,57.0,61,0.0,4.0,40.0,0,46,38.0,74,44,0,0,60,12.0,59,63.0,64,0.0,93,66,16.0,100.0,16.0,22.0,0.0,0.0,25.0,69.0,89,81,0.0,8.0,61,17.0,11.0,0.0,12.0,54,53.0,0,46,35.0,70.0,0.0,84,78,37.0,0.0,45.0,43.0,47,80,0.0,74.0,54.0,20.0,0.0,47.0,0.0,69.0,0,100.0,24.0,0.0,52,68.0,0.0,0,43,48,0.0,0.0,54,0.0,57,46,0.0,72.0,42.0,67,44.0,0,73.0,24.0,0.0,11.0,63,33.0,77,89,19.0,54.0,0.0,29.0,50,0.0,0.0,33.0,35,0,0.0,68,0,0,53,0.0,56,60,0.0,0.0,46.0,28.0,80,4.913076921895895
2004,Alaska,0.0,0,0,0.0,32.0,23.0,28.0,80,0.0,0.0,85,0.0,0.0,0.0,0,0,68,0.0,27.0,0.0,0,90,44.0,62,63,0,0,97,0.0,67,54.0,65,0.0,67,100,27.0,0.0,0.0,0.0,0.0,0.0,36.0,87.0,59,75,0.0,0.0,66,0.0,53.0,0.0,0.0,67,0.0,0,88,0.0,61.0,0.0,74,69,54.0,0.0,0.0,0.0,64,65,0.0,0.0,0.0,36.0,0.0,39.0,0.0,0.0,0,0.0,0.0,0.0,77,48.0,0.0,0,73,72,0.0,0.0,60,0.0,79,79,0.0,22.0,82.0,64,0.0,0,62.0,0.0,0.0,88.0,65,0.0,65,48,45.0,0.0,0.0,0.0,65,0.0,0.0,30.0,57,0,0.0,69,0,0,99,0.0,81,73,0.0,0.0,37.0,0.0,80,24.316875911882846
2004,Arizona,0.0,0,0,25.0,0.0,10.0,4.0,54,14.0,7.0,70,0.0,14.0,11.0,0,0,54,0.0,10.0,9.0,0,50,42.0,71,53,0,0,74,8.0,49,66.0,87,9.0,83,68,0.0,11.0,10.0,24.0,0.0,0.0,35.0,65.0,65,80,0.0,4.0,40,0.0,35.0,22.0,20.0,54,30.0,0,54,19.0,43.0,65.0,65,75,10.0,0.0,19.0,22.0,49,80,16.0,22.0,32.0,27.0,15.0,33.0,0.0,0.0,0,0.0,15.0,0.0,53,58.0,0.0,0,46,46,0.0,0.0,38,0.0,52,46,5.0,48.0,40.0,77,0.0,0,35.0,18.0,7.0,0.0,53,41.0,78,59,52.0,40.0,0.0,11.0,74,59.0,0.0,25.0,32,0,0.0,54,35.0,36.0,61,22.0,54,56,0.0,0.0,41.0,0.0,68,6.0925457702501
2004,Arkansas,0.0,0,0,0.0,38.0,15.0,0.0,68,0.0,0.0,86,0.0,53.0,0.0,0,0,67,0.0,13.0,49.0,21,59,41.0,94,40,0,0,77,14.0,74,51.0,68,0.0,100,68,0.0,0.0,0.0,0.0,0.0,0.0,21.0,63.0,96,94,0.0,0.0,50,66.0,32.0,0.0,0.0,71,0.0,0,42,52.0,93.0,0.0,75,83,0.0,0.0,85.0,29.0,74,83,0.0,0.0,69.0,0.0,0.0,71.0,0.0,0.0,0,0.0,16.0,58.0,60,67.0,0.0,33,74,56,0.0,0.0,66,0.0,78,54,0.0,79.0,82.0,66,0.0,0,67.0,49.0,31.0,0.0,75,56.0,81,77,30.0,88.0,0.0,0.0,90,100.0,0.0,48.0,44,0,25.0,82,0,0,100,0.0,55,59,0.0,0.0,37.0,0.0,80,3.326424605306927
2004,California,11.0,0,0,17.0,7.0,15.0,13.0,48,10.0,5.0,68,4.0,9.0,5.0,2.0,1.0,46,3.0,9.0,17.0,0,54,36.0,69,38,0,100.0,68,6.0,49,65.0,87,14.0,71,51,2.0,12.0,10.0,16.0,0.0,0.0,34.0,56.0,57,82,21.0,7.0,36,7.0,19.0,10.0,13.0,49,28.0,0,64,25.0,71.0,8.0,51,94,10.0,4.0,27.0,28.0,43,82,11.0,26.0,39.0,22.0,8.0,39.0,25.0,24.0,32.0,17.0,10.0,13.0,56,50.0,8.0,0,34,20,3.0,47.0,45,0.0,50,38,4.0,54.0,49.0,85,9.0,13.0,44.0,29.0,4.0,3.0,57,26.0,67,51,35.0,19.0,12.0,34.0,46,6.0,24.0,32.0,35,0,8.0,51,0,0,42,4.0,49,45,2.0,16.0,64.0,9.0,66,3.3050978272028386
2004,Colorado,20.0,0,0,16.0,15.0,16.0,5.0,62,6.0,0.0,70,7.0,14.0,26.0,0,35.0,64,0.0,11.0,13.0,0,54,31.0,68,45,0,0,73,13.0,54,59.0,95,13.0,94,60,8.0,22.0,11.0,5.0,0.0,0.0,31.0,52.0,59,83,22.0,11.0,67,0.0,27.0,14.0,30.0,51,20.0,0,64,30.0,40.0,16.0,79,76,6.0,0.0,31.0,14.0,55,84,17.0,21.0,24.0,27.0,12.0,41.0,0.0,0.0,0,25.0,8.0,0.0,62,51.0,17.0,0,43,43,0.0,0.0,39,0.0,55,47,8.0,52.0,36.0,77,9.0,0,73.0,38.0,0.0,7.0,80,28.0,80,59,21.0,0.0,0.0,13.0,43,0.0,0.0,32.0,37,0,0.0,59,0,0,64,0.0,64,54,0.0,0.0,43.0,18.0,63,8.907960798829064
2004,Connecticut,0.0,0,0,22.0,9.0,21.0,18.0,65,11.0,0.0,78,0.0,0.0,13.0,0,0,77,46.0,15.0,28.0,0,62,46.0,76,61,0,0,76,15.0,65,63.0,77,24.0,69,61,0.0,18.0,15.0,25.0,0.0,0.0,52.0,54.0,51,76,19.0,8.0,53,0.0,46.0,26.0,20.0,67,48.0,0,62,35.0,86.0,24.0,66,77,17.0,0.0,32.0,28.0,42,93,18.0,45.0,49.0,28.0,12.0,41.0,0.0,60.0,0,0.0,22.0,0.0,62,71.0,18.0,0,41,27,0.0,0.0,51,0.0,62,52,5.0,57.0,44.0,63,0.0,0,87.0,35.0,20.0,0.0,79,37.0,79,62,11.0,0.0,0.0,79.0,76,20.0,0.0,44.0,60,0,10.0,67,0,0,47,20.0,59,58,0.0,0.0,72.0,17.0,78,2.6172371236966665
2004,Florida,8.0,0,0,13.0,10.0,10.0,13.0,62,14.0,4.0,69,6.0,25.0,7.0,11.0,0,55,0.0,11.0,2.0,3,45,32.0,61,49,0,0,64,3.0,51,65.0,74,7.0,75,52,4.0,15.0,6.0,16.0,0.0,5.0,29.0,68.0,59,70,38.0,5.0,43,0.0,21.0,9.0,17.0,52,36.0,27.0,46,26.0,57.0,8.0,59,93,15.0,0.0,37.0,37.0,40,66,12.0,9.0,35.0,22.0,0.0,34.0,25.0,23.0,0,14.0,15.0,19.0,46,50.0,27.0,1,37,30,0.0,0.0,37,100.0,48,49,7.0,50.0,42.0,71,13.0,0,45.0,26.0,1.0,0.0,65,22.0,65,57,29.0,13.0,7.0,36.0,45,14.0,97.0,24.0,34,0,5.0,46,0,0,36,0.0,50,54,6.0,0.0,54.0,13.0,71,3.850408143263186
2004,Georgia,8.0,0,22.0,15.0,6.0,10.0,6.0,52,0.0,0.0,59,6.0,7.0,7.0,0,0,57,9.0,9.0,15.0,0,43,52.0,66,50,0,0,60,8.0,59,58.0,77,9.0,86,51,1.0,0.0,8.0,33.0,0.0,14.0,45.0,64.0,63,74,27.0,7.0,45,7.0,33.0,16.0,14.0,56,46.0,0,50,28.0,58.0,5.0,71,89,12.0,0.0,38.0,27.0,48,70,10.0,27.0,41.0,27.0,5.0,51.0,60.0,32.0,0,32.0,11.0,0.0,48,56.0,0.0,0,46,34,0.0,61.0,66,0.0,51,46,5.0,49.0,52.0,70,8.0,40.0,44.0,33.0,7.0,4.0,64,20.0,63,67,49.0,11.0,0.0,15.0,49,11.0,32.0,39.0,34,0,0.0,58,0,0,45,4.0,50,53,0.0,37.0,52.0,18.0,66,4.549639653116966
2004,Idaho,0.0,0,0,23.0,0.0,0.0,42.0,72,74.0,0.0,81,0.0,80.0,0.0,0,0,47,0.0,33.0,0.0,0,61,94.0,86,45,0,0,60,0.0,70,39.0,73,38.0,68,90,0.0,61.0,0.0,0.0,0.0,0.0,21.0,35.0,71,100,0.0,0.0,39,56.0,36.0,0.0,100.0,79,0.0,0,47,34.0,29.0,0.0,96,72,0.0,0.0,23.0,0.0,63,85,100.0,0.0,82.0,75.0,64.0,62.0,0.0,0.0,0,0.0,0.0,0.0,69,63.0,0.0,15,39,53,100.0,0.0,48,0.0,56,17,0.0,45.0,34.0,71,0.0,0,0.0,30.0,100.0,82.0,63,59.0,71,68,70.0,100.0,0.0,0.0,33,0.0,0.0,25.0,51,0,57.0,58,0,0,60,0.0,76,57,0.0,0.0,43.0,0.0,88,7.732158045310446
