Category: All categories

Region,Abusive parents: (2006)
Iowa,100
Alabama,90
Connecticut,37
Utah,36
Maryland,26
South Carolina,24
Missouri,23
Kentucky,21
North Carolina,19
Colorado,12
Oregon,12
Virginia,12
New Jersey,11
Minnesota,11
Massachusetts,10
Texas,10
Florida,9
Illinois,8
California,7
New York,6
Pennsylvania,5
Georgia,4
Rhode Island,
Arkansas,
Alaska,
Wyoming,
Montana,
Michigan,
North Dakota,
Nebraska,
New Hampshire,
Maine,
New Mexico,
Nevada,
Louisiana,
Ohio,
Oklahoma,
Kansas,
Indiana,
Idaho,
Hawaii,
South Dakota,
Tennessee,
Delaware,
District of Columbia,
Arizona,
Vermont,
Washington,
Wisconsin,
West Virginia,
Mississippi,
