Category: All categories

Region,Antisocial: (2016)
Indiana,100
Connecticut,100
California,98
Mississippi,95
North Dakota,95
South Dakota,92
Maine,92
Montana,91
Alabama,91
Rhode Island,89
Maryland,87
Louisiana,87
New Mexico,86
Virginia,86
New Jersey,85
Kansas,84
Michigan,84
Minnesota,84
District of Columbia,83
Oklahoma,83
Washington,82
Arkansas,82
Wyoming,82
West Virginia,81
Nevada,81
Iowa,81
Vermont,81
Ohio,80
Utah,80
New Hampshire,80
Florida,80
Pennsylvania,80
Wisconsin,79
New York,78
Illinois,78
North Carolina,78
Missouri,77
Massachusetts,77
Hawaii,76
Arizona,74
Kentucky,73
Idaho,73
Georgia,72
Oregon,71
South Carolina,71
Tennessee,71
Colorado,70
Alaska,68
Nebraska,67
Texas,66
Delaware,62
