Category: All categories

Region,Antisocial personality: (2013)
North Dakota,100
West Virginia,94
New Mexico,93
Delaware,89
Arkansas,82
Maine,79
Indiana,73
New Hampshire,71
Pennsylvania,69
Wyoming,
Iowa,69
Wisconsin,68
Ohio,67
Alabama,65
Connecticut,64
Kentucky,64
Missouri,63
Michigan,61
Minnesota,60
Maryland,60
Utah,58
Nebraska,57
Colorado,57
Arizona,57
North Carolina,57
Oklahoma,57
Massachusetts,57
Montana,54
Mississippi,54
Hawaii,54
Alaska,
Illinois,53
Florida,52
South Dakota,52
New Jersey,52
Kansas,50
Vermont,
Virginia,47
Tennessee,47
South Carolina,46
Nevada,46
Washington,46
Louisiana,46
New York,46
Rhode Island,45
Georgia,45
Texas,41
District of Columbia,
California,41
Oregon,31
Idaho,28
