Category: All categories

Region,Antisocial personality disorder: (2008)
North Dakota,100
West Virginia,91
Arkansas,52
Maine,47
Nevada,44
Wyoming,
New Hampshire,36
Rhode Island,34
Alabama,31
Wisconsin,31
Maryland,30
Pennsylvania,30
Hawaii,30
North Carolina,29
Utah,29
Delaware,28
Connecticut,27
Michigan,27
Mississippi,26
Nebraska,26
Missouri,26
Ohio,25
Kentucky,25
Illinois,25
Minnesota,24
Georgia,23
Indiana,22
Idaho,21
Florida,21
Massachusetts,21
Washington,21
Oklahoma,21
Colorado,19
Texas,18
New York,18
Virginia,18
New Jersey,18
South Carolina,17
New Mexico,16
Arizona,15
California,13
Tennessee,12
Louisiana,12
Iowa,11
Oregon,10
District of Columbia,10
Kansas,7
Alaska,
Montana,
South Dakota,
Vermont,
