Category: All categories

Region,Avoidant: (2009)
North Dakota,100
Iowa,67
South Dakota,58
Wyoming,46
Alabama,41
Oklahoma,41
Connecticut,39
Indiana,38
Delaware,37
Utah,34
Maine,34
Washington,33
Kentucky,31
Montana,30
Massachusetts,30
Ohio,30
New York,30
Arizona,30
Colorado,30
Nebraska,30
Georgia,30
Illinois,29
Pennsylvania,27
Minnesota,27
New Jersey,27
Hawaii,26
District of Columbia,25
Michigan,24
Tennessee,24
Texas,24
Arkansas,23
New Mexico,23
North Carolina,23
Florida,23
Missouri,23
Maryland,22
California,19
Oregon,19
Wisconsin,18
New Hampshire,18
Virginia,18
Louisiana,18
Nevada,15
Mississippi,13
Rhode Island,12
Kansas,9
Alaska,
Idaho,
South Carolina,
Vermont,
West Virginia,
