Category: All categories

Region,Avoidant personality: (2006)
North Dakota,
Oklahoma,100
South Dakota,
South Carolina,66
Iowa,40
Kansas,37
Idaho,37
District of Columbia,
Maryland,35
Colorado,34
Utah,33
Indiana,30
Connecticut,29
Arkansas,28
Minnesota,27
Michigan,27
New Mexico,
Tennessee,22
Washington,22
Nebraska,
Ohio,21
Missouri,21
Texas,17
Pennsylvania,17
New Jersey,17
Wisconsin,16
Georgia,15
Massachusetts,14
Illinois,13
Florida,13
California,13
New York,11
Oregon,11
North Carolina,10
Virginia,8
Arizona,4
Alaska,
Alabama,
Delaware,
Hawaii,
Kentucky,
Louisiana,
Maine,
Mississippi,
Montana,
New Hampshire,
Nevada,
Rhode Island,
Vermont,
West Virginia,
Wyoming,
