Category: All categories

Region,Avoidant personality disorder: (2019)
Vermont,
New Mexico,100
Idaho,
West Virginia,88
Maine,80
Utah,80
Oregon,68
South Dakota,
Rhode Island,
Alabama,68
Montana,
Massachusetts,68
Minnesota,68
Mississippi,64
District of Columbia,64
Missouri,64
Washington,64
Arkansas,64
Ohio,60
Virginia,60
Connecticut,60
Nevada,60
Wisconsin,60
Delaware,
Indiana,56
Arizona,56
New Hampshire,56
Tennessee,56
Kansas,52
Colorado,52
New York,52
Maryland,52
South Carolina,52
Pennsylvania,52
Kentucky,52
Michigan,48
Nebraska,48
North Carolina,48
Oklahoma,44
California,44
Louisiana,44
Illinois,44
Iowa,40
Texas,40
Florida,40
Georgia,40
New Jersey,36
Hawaii,
Alaska,
North Dakota,
Wyoming,
