Category: All categories

Region,Borderline: (2018)
California,100
Vermont,95
Maine,94
Wyoming,85
New Hampshire,83
Montana,79
Massachusetts,77
Rhode Island,74
Utah,73
New York,72
North Dakota,72
Connecticut,71
Washington,70
Idaho,70
Oregon,70
South Dakota,69
Alaska,69
Pennsylvania,67
District of Columbia,67
West Virginia,65
Michigan,65
Colorado,64
Minnesota,64
New Mexico,64
Kentucky,62
Ohio,61
New Jersey,61
Illinois,61
Oklahoma,60
Iowa,60
Arizona,59
Missouri,59
Indiana,59
Wisconsin,59
Arkansas,58
Virginia,58
Delaware,57
Nebraska,57
Kansas,57
South Carolina,57
Nevada,57
Maryland,56
Louisiana,54
North Carolina,53
Texas,53
Florida,52
Alabama,52
Tennessee,51
Mississippi,49
Hawaii,49
Georgia,46
