Category: All categories

Region,Borderline personality: (2012)
Idaho,100
New Mexico,96
Maine,93
Wyoming,92
Rhode Island,91
New Hampshire,89
Arkansas,88
Utah,86
Oregon,86
North Dakota,82
Minnesota,81
Connecticut,79
South Carolina,79
Kansas,78
Massachusetts,78
Pennsylvania,77
Iowa,76
West Virginia,76
Washington,75
Vermont,75
South Dakota,74
Missouri,73
New York,73
Indiana,72
Colorado,72
Montana,72
North Carolina,72
Michigan,71
Tennessee,71
Delaware,70
Arizona,70
Alabama,69
Wisconsin,69
Louisiana,68
New Jersey,67
Ohio,67
Kentucky,65
Maryland,63
Mississippi,63
Virginia,62
Nebraska,62
Oklahoma,61
District of Columbia,60
Illinois,60
California,59
Alaska,57
Nevada,56
Georgia,55
Florida,52
Hawaii,51
Texas,47
