Category: All categories

Region,Borderline personality disorder: (2007)
Maine,100
Indiana,95
Utah,90
New Hampshire,88
Alaska,86
Ohio,86
Iowa,85
Idaho,84
Nebraska,84
Pennsylvania,84
Alabama,80
Washington,79
Missouri,79
Massachusetts,78
Mississippi,77
North Carolina,77
Minnesota,76
Michigan,76
Virginia,74
South Carolina,74
New York,74
Colorado,74
South Dakota,73
Oregon,73
New Mexico,71
West Virginia,70
Connecticut,70
Maryland,69
Hawaii,69
Arkansas,66
Delaware,66
Oklahoma,66
District of Columbia,64
New Jersey,63
Rhode Island,63
Wisconsin,63
Illinois,63
Kansas,61
Louisiana,60
Texas,58
Arizona,58
Montana,57
Kentucky,57
Georgia,55
California,53
Tennessee,52
Florida,52
Nevada,50
Vermont,44
Wyoming,43
North Dakota,
