Category: All categories

Region,Bullying: (2008)
Delaware,100
Vermont,95
Nebraska,82
Kentucky,82
South Dakota,67
North Dakota,67
Iowa,66
Kansas,66
Maine,65
Indiana,59
Pennsylvania,56
Connecticut,52
Wyoming,50
Ohio,50
West Virginia,48
South Carolina,48
Arkansas,47
Wisconsin,47
Hawaii,45
Idaho,45
New Jersey,45
Missouri,43
Michigan,43
District of Columbia,43
Rhode Island,43
Alaska,40
Minnesota,40
New York,39
Montana,38
Oklahoma,37
New Hampshire,37
Maryland,37
Massachusetts,36
Tennessee,36
Illinois,35
Utah,35
Louisiana,34
Arizona,33
Nevada,32
Mississippi,31
Washington,31
Florida,30
New Mexico,30
Virginia,30
Oregon,30
Alabama,30
North Carolina,29
Colorado,28
Georgia,28
Texas,24
California,24
