Category: All categories

Region,Can’t sleep: (2021)
Ohio,100
Georgia,99
Illinois,90
Texas,82
North Carolina,76
Florida,75
California,64
New York,60
Arizona,54
Pennsylvania,45
Wyoming,
Rhode Island,
Hawaii,
Kentucky,
Idaho,
Oregon,
Minnesota,
Missouri,
Iowa,
Indiana,
Wisconsin,
Mississippi,
Colorado,
Oklahoma,
Utah,
Louisiana,
Virginia,
Maryland,
Nevada,
Washington,
Tennessee,
Alabama,
New Jersey,
Massachusetts,
Connecticut,
Michigan,
South Carolina,
Montana,
Maine,
Arkansas,
District of Columbia,
South Dakota,
New Mexico,
New Hampshire,
Delaware,
Kansas,
Vermont,
Nebraska,
North Dakota,
West Virginia,
Alaska,
