Category: All categories

Region,Coping with stress: (2015)
Arkansas,100
West Virginia,99
Louisiana,94
Nebraska,87
Ohio,85
Michigan,85
Iowa,77
Oklahoma,76
Missouri,75
Wisconsin,74
Alabama,73
South Carolina,71
Mississippi,68
Georgia,67
North Carolina,65
New Mexico,63
Indiana,62
Connecticut,60
New Jersey,60
Arizona,59
Colorado,59
Florida,58
Pennsylvania,55
Texas,54
Kansas,51
Minnesota,51
Maryland,51
California,50
Massachusetts,48
Illinois,45
Utah,45
Virginia,44
Washington,43
Tennessee,40
New York,39
Kentucky,37
Nevada,36
Oregon,34
Delaware,
Wyoming,
South Dakota,
Maine,
North Dakota,
Alaska,
Rhode Island,
Vermont,
Hawaii,
Idaho,
District of Columbia,
New Hampshire,
Montana,
