Category: All categories

Region,Cutting: (2019)
Idaho,100
Vermont,94
Wyoming,93
Wisconsin,92
Alaska,92
Maine,91
Montana,90
Kansas,89
Michigan,89
South Dakota,89
Minnesota,88
Oregon,88
Washington,86
Virginia,85
North Dakota,85
New Hampshire,85
Louisiana,84
Utah,84
Alabama,84
Iowa,83
Arkansas,83
Indiana,82
Kentucky,82
North Carolina,81
Nebraska,81
Oklahoma,81
Tennessee,80
Mississippi,80
Colorado,79
New York,78
Pennsylvania,77
Connecticut,77
West Virginia,76
Ohio,76
Arizona,76
South Carolina,75
Missouri,74
Texas,74
New Mexico,73
Massachusetts,73
Georgia,73
Delaware,73
Illinois,72
Hawaii,70
Maryland,70
California,69
Nevada,68
New Jersey,67
Florida,66
Rhode Island,65
District of Columbia,54
