Category: All categories

Region,Dependent: (2008)
Iowa,100
Maryland,98
Connecticut,87
District of Columbia,84
Delaware,82
New Hampshire,82
Vermont,81
Nebraska,81
Minnesota,80
Massachusetts,79
Kentucky,79
Indiana,78
Alabama,78
Georgia,77
Rhode Island,77
Kansas,76
North Dakota,75
Michigan,74
Ohio,74
Louisiana,74
South Carolina,73
North Carolina,73
Illinois,73
Arizona,73
Missouri,73
Mississippi,73
Pennsylvania,71
Colorado,71
Oregon,69
Arkansas,69
Florida,69
Wisconsin,68
Utah,68
Oklahoma,67
Texas,66
West Virginia,65
Tennessee,65
Washington,63
New Jersey,63
Hawaii,63
New Mexico,62
Wyoming,62
Maine,60
New York,59
Alaska,59
Idaho,59
California,58
Virginia,56
Montana,53
South Dakota,51
Nevada,51
