Category: All categories

Region,Dependent personality: (2010)
West Virginia,
Vermont,
Iowa,
Wyoming,
Mississippi,
Oklahoma,
Indiana,100
Kentucky,86
Maryland,86
Tennessee,86
Louisiana,82
Idaho,
Michigan,69
Ohio,69
North Carolina,65
Oregon,
Pennsylvania,60
Wisconsin,56
Kansas,
Texas,52
Florida,47
New Jersey,47
Massachusetts,43
Colorado,43
New York,43
Illinois,43
Minnesota,39
Georgia,39
Washington,39
Missouri,39
Nevada,
South Carolina,34
Connecticut,34
District of Columbia,
Arizona,30
California,26
Virginia,26
Alaska,
Alabama,
Arkansas,
Delaware,
Hawaii,
Maine,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Rhode Island,
South Dakota,
Utah,
