Category: All categories

Region,Dependent personality disorder: (2011)
Vermont,100
West Virginia,88
Maine,88
Nevada,61
Idaho,55
Rhode Island,52
Kansas,44
New Mexico,41
Mississippi,38
Utah,38
Maryland,35
Alabama,32
North Carolina,32
Wisconsin,32
Kentucky,29
Oregon,29
Iowa,29
Tennessee,29
Oklahoma,29
Pennsylvania,29
Arizona,26
New Jersey,26
Louisiana,26
Virginia,26
Massachusetts,26
Michigan,26
Ohio,23
Illinois,23
Colorado,23
Indiana,23
Minnesota,20
Connecticut,20
Arkansas,20
California,17
Florida,17
Missouri,17
New York,17
Washington,14
Texas,14
Georgia,11
District of Columbia,11
Alaska,
Delaware,
Hawaii,
Montana,
North Dakota,
Nebraska,
New Hampshire,
South Carolina,
South Dakota,
Wyoming,
