Category: All categories

Region,Divorce: (2019)
Arkansas,100
Alabama,97
Tennessee,97
Georgia,96
Texas,93
Utah,90
Oklahoma,89
Mississippi,89
Maryland,87
Indiana,86
Kansas,86
Idaho,85
Virginia,84
Nevada,84
Kentucky,83
Louisiana,83
Missouri,83
Nebraska,83
Minnesota,82
Wyoming,81
New York,81
South Carolina,81
Arizona,80
Washington,80
Michigan,79
Florida,79
Ohio,79
Illinois,78
Connecticut,78
North Dakota,76
North Carolina,76
Alaska,76
Colorado,75
Massachusetts,75
Wisconsin,75
District of Columbia,75
West Virginia,75
New Jersey,74
Iowa,74
Pennsylvania,74
Oregon,73
New Hampshire,72
California,72
New Mexico,72
South Dakota,71
Delaware,71
Hawaii,70
Montana,70
Vermont,66
Maine,65
Rhode Island,62
