Category: All categories

Region,Eating disorder: (2004)
Wyoming,100
Nebraska,96
Nevada,90
North Dakota,89
Connecticut,87
Pennsylvania,84
South Dakota,82
Maine,80
West Virginia,79
Massachusetts,79
Wisconsin,76
Mississippi,74
Utah,74
Colorado,73
Alabama,73
Oregon,73
Iowa,67
New Hampshire,67
Maryland,67
Arkansas,67
Minnesota,67
New Mexico,63
Rhode Island,63
Michigan,63
Alaska,62
Indiana,61
New York,61
North Carolina,60
Hawaii,58
Illinois,56
Ohio,55
New Jersey,54
Washington,52
Tennessee,51
Missouri,49
District of Columbia,49
Delaware,48
Louisiana,47
Florida,45
Vermont,45
California,44
Georgia,44
Virginia,43
Kansas,42
South Carolina,41
Oklahoma,38
Texas,38
Arizona,35
Kentucky,31
Montana,
Idaho,
