Category: All categories

Region,Fitting in: (2014)
Delaware,100
New Hampshire,90
North Dakota,90
Montana,87
Alabama,78
Rhode Island,77
Indiana,77
New Mexico,76
Connecticut,75
Colorado,73
Ohio,73
Utah,72
Massachusetts,72
Vermont,71
Tennessee,70
Wisconsin,69
Arkansas,69
Maryland,69
Iowa,69
Pennsylvania,68
Minnesota,68
Oklahoma,67
Idaho,67
Michigan,66
South Carolina,65
Washington,65
Missouri,65
West Virginia,65
North Carolina,64
Louisiana,64
Mississippi,63
District of Columbia,62
New Jersey,61
Kansas,61
Arizona,61
Illinois,61
Kentucky,59
Texas,59
Virginia,57
Nebraska,55
Florida,55
Georgia,53
New York,52
California,51
Hawaii,50
South Dakota,50
Maine,47
Oregon,46
Nevada,41
Alaska,
Wyoming,
