Category: All categories

Region,Histrionic: (2016)
Rhode Island,100
Montana,98
Oklahoma,90
Alaska,88
Connecticut,86
Wyoming,86
Utah,85
District of Columbia,81
Maine,81
West Virginia,80
Arizona,76
Maryland,75
Washington,73
Colorado,73
Mississippi,71
Pennsylvania,71
Massachusetts,70
Alabama,70
North Carolina,70
Michigan,70
Minnesota,68
Virginia,68
Wisconsin,68
Missouri,68
Indiana,68
New Jersey,66
Oregon,66
New Mexico,66
Arkansas,66
Delaware,66
Kentucky,66
Vermont,66
Kansas,65
Tennessee,65
Illinois,65
South Carolina,65
Hawaii,65
Louisiana,63
South Dakota,63
New York,61
California,61
Florida,60
Georgia,58
North Dakota,58
Nevada,58
Iowa,58
Texas,56
New Hampshire,56
Ohio,56
Idaho,56
Nebraska,55
