Category: All categories

Region,Histrionic personality: (2009)
Montana,100
Wyoming,97
Nebraska,53
Alabama,46
Wisconsin,42
West Virginia,41
North Carolina,38
Connecticut,36
Mississippi,36
Maine,36
Oklahoma,34
Rhode Island,32
Tennessee,30
Pennsylvania,29
New Mexico,29
Alaska,28
Indiana,28
Kentucky,28
New Hampshire,27
Missouri,27
Colorado,27
Arizona,27
Ohio,27
Maryland,26
Washington,25
Florida,25
Massachusetts,25
New York,25
Illinois,23
Georgia,23
Iowa,23
Nevada,23
Kansas,22
Michigan,21
Utah,21
Oregon,20
Idaho,20
New Jersey,19
Texas,18
Louisiana,18
Minnesota,16
California,16
South Carolina,16
District of Columbia,15
Virginia,14
Arkansas,
Delaware,
Hawaii,
North Dakota,
South Dakota,
Vermont,
