Category: All categories

Region,Histrionic personality disorder: (2008)
Wyoming,100
Idaho,91
Delaware,61
Iowa,61
Louisiana,61
Hawaii,52
New Hampshire,48
Colorado,35
Montana,34
Ohio,32
Maryland,30
Minnesota,27
Connecticut,27
Nebraska,22
New Jersey,22
Rhode Island,21
New Mexico,21
Texas,21
Tennessee,21
Oregon,21
Florida,21
Missouri,21
Michigan,21
New York,20
Wisconsin,20
Arizona,20
Washington,20
Pennsylvania,20
South Carolina,18
Kentucky,18
Virginia,18
California,17
Oklahoma,17
Massachusetts,17
Illinois,17
Indiana,12
North Carolina,12
Alabama,10
District of Columbia,10
Georgia,10
Alaska,
Arkansas,
Kansas,
Maine,
Mississippi,
North Dakota,
Nevada,
South Dakota,
Utah,
Vermont,
West Virginia,
