Category: All categories

Region,I hate my parents: (2015)
Massachusetts,100
Pennsylvania,98
New Jersey,92
Ohio,86
Florida,78
California,73
New York,70
Texas,69
Michigan,69
Illinois,53
Washington,52
North Carolina,46
Georgia,44
Virginia,41
Alaska,
North Dakota,
West Virginia,
New Mexico,
Nevada,
Maine,
Mississippi,
Vermont,
Nebraska,
Connecticut,
Kansas,
Missouri,
District of Columbia,
Wisconsin,
Iowa,
Minnesota,
Utah,
Arizona,
Alabama,
Maryland,
Colorado,
Arkansas,
Hawaii,
New Hampshire,
Kentucky,
Louisiana,
South Carolina,
Oklahoma,
Tennessee,
Oregon,
Indiana,
Rhode Island,
South Dakota,
Idaho,
Delaware,
Montana,
Wyoming,
