Category: All categories

Region,Jesus: (2005)
Mississippi,100
Kentucky,97
Utah,95
West Virginia,92
Arkansas,91
South Carolina,89
Alabama,88
Indiana,85
Oklahoma,85
Georgia,85
Tennessee,83
Idaho,79
Louisiana,77
Nebraska,75
Kansas,75
Texas,74
Missouri,72
Pennsylvania,72
Montana,72
Ohio,71
Hawaii,71
South Dakota,71
Iowa,71
North Carolina,70
Alaska,68
Rhode Island,68
Illinois,68
Delaware,67
Florida,66
Oregon,66
Arizona,64
Colorado,64
Minnesota,64
Wyoming,63
Michigan,63
New York,62
Maryland,61
North Dakota,60
California,60
New Mexico,59
Virginia,59
Maine,58
Wisconsin,58
District of Columbia,58
Washington,57
Vermont,55
Connecticut,55
Nevada,55
New Hampshire,53
New Jersey,53
Massachusetts,47
