Category: All categories

Region,Narcissism: (2021)
Utah,100
Oregon,96
Vermont,95
Washington,94
Montana,93
Minnesota,90
Colorado,88
Idaho,88
Rhode Island,85
Iowa,82
District of Columbia,81
Missouri,81
Connecticut,80
Maine,80
Alaska,79
Oklahoma,79
Arizona,78
Kentucky,77
Michigan,76
New Hampshire,76
New Mexico,75
Arkansas,74
Wyoming,74
West Virginia,74
Maryland,74
Tennessee,73
Virginia,72
Hawaii,72
Nebraska,72
Nevada,72
Illinois,72
Indiana,71
Ohio,71
Pennsylvania,71
Georgia,71
Louisiana,71
South Dakota,70
Kansas,69
California,69
Wisconsin,69
Massachusetts,68
New Jersey,66
South Carolina,65
North Carolina,64
Alabama,62
Mississippi,62
North Dakota,61
New York,60
Texas,59
Florida,59
Delaware,57
