Category: All categories

Region,Narcissistic personality: (2014)
Montana,100
Maine,98
Delaware,87
New Mexico,86
Vermont,81
Indiana,71
Washington,69
New Hampshire,68
Idaho,68
Minnesota,66
Tennessee,65
Alaska,65
Rhode Island,64
Michigan,64
South Dakota,64
North Carolina,63
South Carolina,63
Pennsylvania,62
Connecticut,61
Massachusetts,61
Ohio,60
Louisiana,60
Oklahoma,60
Kentucky,60
West Virginia,59
Colorado,59
Utah,58
Wisconsin,58
Hawaii,58
Alabama,57
Maryland,57
Kansas,56
Illinois,55
Arkansas,55
Missouri,55
Nevada,54
Arizona,54
Nebraska,52
District of Columbia,52
Florida,51
Georgia,50
New Jersey,50
Iowa,50
North Dakota,49
New York,47
California,45
Virginia,44
Mississippi,43
Texas,40
Oregon,36
Wyoming,14
