Category: All categories

Region,Narcissistic personality disorder: (2014)
Montana,100
Maine,74
New Mexico,74
Delaware,70
Vermont,67
Idaho,61
Alaska,60
Washington,59
Tennessee,57
New Hampshire,55
Indiana,55
Rhode Island,55
Utah,54
Minnesota,53
South Dakota,53
North Carolina,53
Ohio,53
Connecticut,52
Kentucky,52
Pennsylvania,52
Colorado,51
Wisconsin,51
Louisiana,51
Missouri,50
Oklahoma,50
Hawaii,49
Michigan,49
South Carolina,49
West Virginia,49
Alabama,48
Massachusetts,48
Nevada,46
Illinois,46
Maryland,45
Kansas,42
Florida,42
Mississippi,42
Georgia,42
Arizona,42
Iowa,42
Nebraska,41
District of Columbia,41
Wyoming,40
New York,40
North Dakota,40
New Jersey,40
Arkansas,39
California,38
Texas,37
Virginia,37
Oregon,32
