Category: All categories

Region,Obsessive compulsive: (2005)
Wyoming,
West Virginia,100
Alaska,
Mississippi,57
Kentucky,51
Nevada,48
North Dakota,
Idaho,47
Iowa,45
Nebraska,45
Indiana,44
Vermont,
Michigan,41
Montana,
Tennessee,39
Wisconsin,38
Illinois,37
Pennsylvania,37
Alabama,37
Minnesota,37
Oklahoma,36
New Jersey,36
Ohio,36
New Mexico,36
Louisiana,36
New Hampshire,35
Arkansas,34
Missouri,34
Colorado,33
Maine,33
Georgia,32
New York,31
Utah,30
South Carolina,30
Oregon,30
Arizona,29
Washington,29
Maryland,29
District of Columbia,
Connecticut,28
Texas,28
Kansas,28
Massachusetts,28
North Carolina,28
South Dakota,
Florida,27
Virginia,27
California,25
Rhode Island,15
Hawaii,
Delaware,
