Category: All categories

Region,Obsessive compulsive personality: (2016)
Rhode Island,
Wyoming,
West Virginia,
North Dakota,
Vermont,
Maine,
Oregon,
Minnesota,
Nevada,
Kentucky,
Louisiana,
Wisconsin,
Montana,
Missouri,
Maryland,100
Virginia,85
Kansas,
Tennessee,
South Carolina,
Utah,
Oklahoma,
New Jersey,85
Connecticut,
Delaware,
Indiana,
Georgia,71
Pennsylvania,71
Illinois,71
Washington,71
Ohio,71
District of Columbia,
Massachusetts,71
Michigan,71
Arizona,
Idaho,
North Carolina,57
Iowa,
California,57
Texas,57
New York,57
Florida,57
New Mexico,
Colorado,57
Mississippi,
Arkansas,
Alaska,
Alabama,
Hawaii,
Nebraska,
New Hampshire,
South Dakota,
