Category: All categories

Region,Obsessive compulsive personality disorder: (2011)
Wyoming,
Alaska,
Idaho,
Delaware,
South Dakota,
Louisiana,
Arkansas,
Utah,
Indiana,100
Tennessee,
Rhode Island,
Iowa,
Michigan,84
Arizona,84
Alabama,
Mississippi,
Pennsylvania,76
Nebraska,
South Carolina,
North Carolina,69
Massachusetts,69
Virginia,69
Missouri,69
Maryland,69
Ohio,61
District of Columbia,
Connecticut,
Illinois,61
New Jersey,61
Washington,53
Florida,53
Kansas,
Colorado,53
Wisconsin,53
Texas,53
New York,46
West Virginia,
California,46
Georgia,46
Oregon,
Minnesota,38
Nevada,
Oklahoma,
Kentucky,
Hawaii,
Maine,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Vermont,
