Category: All categories

Region,Paranoid: (2009)
South Dakota,100
Maine,97
New Hampshire,93
Delaware,91
Rhode Island,91
New Jersey,84
Massachusetts,83
Connecticut,81
Kentucky,80
Pennsylvania,79
New York,77
California,76
Oregon,75
Michigan,75
Hawaii,75
Alaska,75
Maryland,72
North Carolina,70
Florida,70
Virginia,69
Oklahoma,68
District of Columbia,68
Nevada,68
Ohio,68
Louisiana,67
Arizona,66
Mississippi,66
Illinois,66
Tennessee,66
South Carolina,64
Texas,64
Missouri,64
Washington,64
Iowa,62
West Virginia,62
Vermont,62
Kansas,62
Arkansas,61
Montana,61
New Mexico,61
Wisconsin,60
Minnesota,60
Wyoming,60
Utah,58
Georgia,58
Nebraska,57
Indiana,56
Alabama,55
North Dakota,54
Colorado,52
Idaho,44
