Category: All categories

Region,Paranoid personality: (2018)
Wyoming,
Delaware,
Kentucky,100
Rhode Island,
Montana,
Mississippi,
Arkansas,
Maine,
Massachusetts,81
Wisconsin,77
Maryland,77
Iowa,77
Nebraska,
Kansas,
Alabama,72
Connecticut,72
New Jersey,72
North Dakota,
Oklahoma,
Virginia,68
Alaska,
Missouri,63
Tennessee,63
Ohio,63
New Mexico,
Indiana,59
Georgia,59
South Dakota,
West Virginia,
Florida,54
Michigan,54
North Carolina,54
Illinois,54
Minnesota,54
California,50
New York,50
Louisiana,50
Pennsylvania,50
New Hampshire,
Texas,50
Arizona,50
District of Columbia,
Washington,50
Utah,50
South Carolina,45
Nevada,45
Oregon,45
Colorado,45
Vermont,
Hawaii,
Idaho,
