Category: All categories

Region,Paranoid personality disorder: (2007)
Wyoming,
Mississippi,100
New Mexico,
Nebraska,
Oklahoma,56
Nevada,56
Louisiana,45
Connecticut,45
Hawaii,
Indiana,43
Colorado,39
New York,36
New Hampshire,
Rhode Island,
North Carolina,36
Ohio,34
Tennessee,34
Arkansas,32
Kentucky,30
Arizona,28
Washington,28
Florida,23
District of Columbia,
Georgia,23
Maryland,23
Texas,19
Kansas,
Pennsylvania,19
Michigan,19
California,17
Illinois,17
Missouri,15
Minnesota,13
Massachusetts,13
Oregon,8
New Jersey,8
Virginia,4
Alaska,
Alabama,
Delaware,
Iowa,
Idaho,
Maine,
Montana,
North Dakota,
South Carolina,
South Dakota,
Utah,
Vermont,
Wisconsin,
West Virginia,
