Category: All categories

Region,School stress: (2019)
New Hampshire,100
Connecticut,98
Indiana,95
Maine,95
Rhode Island,85
Wisconsin,84
Iowa,83
Massachusetts,81
New Jersey,81
Missouri,80
Virginia,78
District of Columbia,78
North Carolina,78
Delaware,76
Minnesota,75
Illinois,73
Mississippi,71
Maryland,70
Arizona,70
Colorado,70
Arkansas,70
Kansas,70
West Virginia,70
Hawaii,69
Ohio,68
South Carolina,68
Utah,68
Idaho,67
Pennsylvania,67
California,66
Michigan,64
Alabama,63
Oregon,63
Georgia,59
Louisiana,58
Kentucky,58
Texas,55
New Mexico,54
Tennessee,53
New York,53
Oklahoma,53
Nebraska,52
Washington,51
Florida,47
Nevada,45
South Dakota,
Alaska,
North Dakota,
Vermont,
Wyoming,
Montana,
