Category: All categories

Region,Suicide hotline: (2018)
Idaho,100
Utah,98
Montana,89
Kansas,87
West Virginia,85
North Dakota,85
New Mexico,84
Iowa,83
Alaska,80
Washington,79
Nevada,79
South Dakota,78
Oklahoma,77
Oregon,77
Indiana,76
Nebraska,76
Arizona,76
New Hampshire,74
Missouri,72
Michigan,72
Maryland,69
Ohio,69
Wisconsin,69
California,69
Rhode Island,68
Kentucky,67
Wyoming,67
Arkansas,67
Minnesota,66
Colorado,66
Delaware,66
District of Columbia,65
Hawaii,65
Virginia,64
Maine,64
Connecticut,64
Pennsylvania,64
Illinois,60
Alabama,59
Tennessee,58
Vermont,57
North Carolina,57
Georgia,57
New Jersey,56
Texas,54
Louisiana,54
Massachusetts,53
South Carolina,52
Mississippi,49
Florida,49
New York,48
