Category: All categories

Region,abuse: (2006)
North Dakota,100
Iowa,93
South Dakota,91
Vermont,87
West Virginia,87
Arkansas,87
Wyoming,86
New Mexico,84
Maine,84
Kentucky,84
Alaska,84
Delaware,83
Mississippi,82
Idaho,82
Oklahoma,81
Nebraska,81
Indiana,80
Montana,75
Pennsylvania,74
Kansas,72
South Carolina,70
Missouri,70
Tennessee,70
Utah,69
Wisconsin,68
Rhode Island,68
Michigan,67
Texas,67
Connecticut,66
Oregon,66
Maryland,66
Minnesota,65
Alabama,65
Louisiana,65
New Hampshire,64
Illinois,63
North Carolina,63
New York,61
Ohio,61
Hawaii,60
Nevada,59
Arizona,59
Colorado,58
District of Columbia,58
Virginia,57
California,56
Florida,53
New Jersey,52
Washington,51
Massachusetts,51
Georgia,48
