Category: All categories

Region,Abusive parents: (2011)
Utah,100
Indiana,90
Oklahoma,83
Virginia,81
South Carolina,80
North Carolina,78
New Jersey,77
Connecticut,76
Washington,76
Iowa,73
Pennsylvania,71
New York,67
Oregon,60
Ohio,57
Massachusetts,56
Arizona,55
Texas,55
Georgia,52
California,52
Minnesota,51
Illinois,49
Tennessee,47
Maryland,45
Colorado,45
Michigan,44
Kentucky,43
Florida,38
Missouri,36
Wisconsin,32
North Dakota,
Montana,
Delaware,
Idaho,
Nebraska,
Hawaii,
New Hampshire,
Mississippi,
Kansas,
Maine,
District of Columbia,
Louisiana,
Alaska,
South Dakota,
Rhode Island,
Nevada,
New Mexico,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
