Category: All categories

Region,academic stress: (2011)
Montana,
Mississippi,
Alaska,
Idaho,
New Mexico,
Nevada,
Kansas,
Louisiana,100
Iowa,
Michigan,
North Carolina,75
South Carolina,
Connecticut,
Missouri,
Massachusetts,
Virginia,
Oregon,
Wisconsin,
Ohio,50
Illinois,50
Arizona,50
California,25
Florida,25
Washington,25
Minnesota,25
Pennsylvania,25
New York,25
Texas,25
New Jersey,<1
Georgia,<1
Alabama,
Arkansas,
Colorado,
District of Columbia,
Delaware,
Hawaii,
Indiana,
Kentucky,
Maryland,
Maine,
North Dakota,
Nebraska,
New Hampshire,
Oklahoma,
Rhode Island,
South Dakota,
Tennessee,
Utah,
Vermont,
West Virginia,
Wyoming,
