Category: All categories

Region,advil: (2010)
Rhode Island,100
Delaware,96
Vermont,89
Connecticut,86
New Hampshire,85
Massachusetts,84
Pennsylvania,79
District of Columbia,76
New Jersey,76
South Carolina,74
New York,73
Maine,72
Maryland,71
North Dakota,71
Florida,70
Louisiana,70
Illinois,69
Ohio,68
Minnesota,68
Nevada,67
Idaho,67
Alabama,65
Colorado,63
Tennessee,62
Oregon,61
Kentucky,58
North Carolina,58
Wisconsin,58
South Dakota,57
Mississippi,57
Texas,57
Indiana,56
Wyoming,56
Kansas,54
Oklahoma,54
Missouri,54
Alaska,53
Georgia,52
Hawaii,52
Washington,52
Michigan,52
Arizona,50
Nebraska,50
New Mexico,47
Montana,45
Arkansas,44
Utah,43
Iowa,42
California,37
Virginia,36
West Virginia,32
