Category: All categories

Region,alcohol: (2010)
South Dakota,100
Delaware,99
North Dakota,95
Indiana,94
Pennsylvania,93
Rhode Island,93
Alaska,93
Massachusetts,91
Connecticut,90
Montana,90
New Mexico,90
Wyoming,90
West Virginia,87
Oregon,87
Vermont,87
New Hampshire,86
Kentucky,86
Maine,86
Iowa,85
Wisconsin,84
Ohio,83
New York,82
Washington,82
Missouri,82
Michigan,81
Colorado,81
Idaho,81
Maryland,81
North Carolina,78
Minnesota,77
Nebraska,77
Arizona,77
Illinois,76
South Carolina,76
Florida,75
Mississippi,74
Arkansas,73
New Jersey,72
District of Columbia,72
Kansas,72
Georgia,70
Tennessee,69
Louisiana,69
Hawaii,68
Texas,67
Alabama,66
Nevada,65
Oklahoma,64
California,60
Utah,58
Virginia,55
