Category: All categories

Region,anorexia: (2014)
South Dakota,100
Vermont,89
Maine,88
North Dakota,87
New Hampshire,85
Utah,82
West Virginia,81
Idaho,79
Wyoming,78
Iowa,76
Indiana,75
Arkansas,75
Connecticut,75
New Mexico,74
Alaska,74
Nebraska,72
Wisconsin,70
Missouri,68
Rhode Island,68
Minnesota,67
Mississippi,67
Kentucky,66
Massachusetts,66
Ohio,65
Tennessee,64
Montana,64
New York,64
Michigan,64
New Jersey,64
Arizona,64
North Carolina,63
Delaware,63
Pennsylvania,63
Washington,62
Alabama,62
Oklahoma,61
Texas,61
Kansas,61
Colorado,61
South Carolina,60
Maryland,59
Illinois,58
Nevada,57
Louisiana,57
Florida,56
California,56
Hawaii,55
Georgia,52
District of Columbia,51
Oregon,51
Virginia,51
