Category: All categories

Region,antidepressants: (2012)
North Dakota,100
Wyoming,98
West Virginia,91
Idaho,88
Vermont,84
Kentucky,84
New Mexico,80
Rhode Island,79
Alabama,78
Maine,78
Mississippi,77
Nebraska,77
Montana,77
Tennessee,73
Iowa,72
South Dakota,72
Arkansas,72
Louisiana,71
Kansas,71
Ohio,71
Utah,70
Wisconsin,70
Oklahoma,69
New Hampshire,69
Oregon,68
Washington,67
Indiana,66
Pennsylvania,66
Virginia,65
Minnesota,65
Connecticut,64
South Carolina,64
Massachusetts,64
Missouri,63
Colorado,63
North Carolina,62
Michigan,61
New Jersey,61
Arizona,61
Alaska,60
Maryland,56
Georgia,55
Illinois,54
Delaware,54
District of Columbia,54
California,52
Nevada,51
Florida,51
Texas,49
New York,46
Hawaii,44
