Category: All categories

Region,anxiety: (2012)
Rhode Island,100
New York,97
Pennsylvania,96
Maine,94
Massachusetts,93
Connecticut,92
Ohio,92
New Hampshire,92
Vermont,89
North Dakota,89
West Virginia,89
New Jersey,88
Delaware,86
Kentucky,86
South Carolina,84
Illinois,84
Wisconsin,83
South Dakota,83
Tennessee,83
Indiana,82
Michigan,82
Minnesota,82
Louisiana,81
Virginia,81
New Mexico,81
Maryland,81
Montana,80
Arkansas,80
Florida,79
Arizona,79
Missouri,78
California,78
North Carolina,78
Washington,77
Idaho,77
District of Columbia,77
Oregon,76
Mississippi,76
Texas,76
Georgia,74
Nebraska,74
Colorado,73
Iowa,70
Alabama,70
Kansas,69
Oklahoma,69
Utah,68
Wyoming,66
Alaska,65
Nevada,64
Hawaii,63
