Category: All categories

Region,bipolar: (2020)
Maine,100
West Virginia,99
Oregon,99
New Hampshire,96
Kentucky,95
Rhode Island,93
Connecticut,93
Idaho,93
Pennsylvania,93
Ohio,92
Alabama,92
Illinois,92
Alaska,91
Tennessee,90
Vermont,90
Louisiana,90
North Dakota,90
Wyoming,90
Missouri,89
Delaware,89
Oklahoma,89
Indiana,89
Massachusetts,89
Washington,88
Virginia,88
Maryland,87
Montana,87
Wisconsin,86
Michigan,86
North Carolina,86
Arizona,85
California,85
South Dakota,84
Florida,82
Arkansas,82
Nebraska,82
South Carolina,81
Texas,81
New York,81
Georgia,80
Utah,80
New Jersey,80
Colorado,79
Kansas,79
District of Columbia,79
New Mexico,78
Mississippi,78
Minnesota,78
Nevada,76
Iowa,74
Hawaii,73
