Category: All categories

Region,breakup: (2019)
District of Columbia,100
Vermont,97
California,97
Rhode Island,95
Hawaii,93
Alaska,92
New York,89
New Hampshire,89
Wyoming,89
Texas,88
Maine,88
Massachusetts,87
Pennsylvania,87
New Mexico,86
New Jersey,86
Mississippi,85
Virginia,85
Utah,84
Delaware,84
Nebraska,84
Nevada,84
Kentucky,83
Montana,83
Oregon,82
West Virginia,82
Idaho,81
Oklahoma,81
Connecticut,81
Washington,81
Ohio,81
Louisiana,81
Illinois,80
North Carolina,80
Alabama,79
Arizona,79
Michigan,78
Iowa,77
North Dakota,77
Kansas,76
Maryland,76
Arkansas,75
Tennessee,75
Colorado,74
Indiana,74
Missouri,74
Minnesota,74
South Carolina,73
Florida,73
Wisconsin,71
Georgia,70
South Dakota,68
