Category: All categories

Region,bulemia: (2011)
Montana,
Nebraska,
Delaware,
Mississippi,
Alaska,
Rhode Island,
South Carolina,100
Arkansas,
Indiana,94
District of Columbia,94
Connecticut,88
New York,83
Utah,83
Kentucky,83
Oregon,83
Maryland,77
Massachusetts,72
Missouri,72
Ohio,72
Nevada,
Illinois,66
Arizona,66
Pennsylvania,66
Colorado,61
Tennessee,61
California,61
Virginia,61
Iowa,55
West Virginia,
Michigan,55
New Jersey,55
Minnesota,55
Washington,55
Maine,
North Carolina,55
Alabama,50
Wisconsin,50
Texas,50
Florida,44
Hawaii,
Idaho,
Oklahoma,38
Georgia,33
New Mexico,
Louisiana,16
Kansas,
North Dakota,
New Hampshire,
South Dakota,
Vermont,
Wyoming,
