Category: All categories

Region,Bullying: (2004)
Wyoming,100
South Dakota,96
Vermont,76
Nebraska,74
North Dakota,60
Kentucky,59
New Jersey,58
Iowa,56
Alaska,53
Rhode Island,49
New Hampshire,48
Indiana,47
Connecticut,46
Minnesota,43
Tennessee,42
Michigan,42
New York,39
Ohio,38
Montana,38
Illinois,37
Kansas,37
Pennsylvania,37
Idaho,36
Louisiana,35
Arizona,35
Missouri,34
Washington,34
New Mexico,33
Georgia,33
Massachusetts,33
Oklahoma,32
Arkansas,32
Oregon,31
Wisconsin,31
Virginia,30
Delaware,29
Maine,29
Colorado,27
South Carolina,26
Maryland,24
West Virginia,22
District of Columbia,22
North Carolina,22
Florida,21
Texas,20
Nevada,20
California,19
Utah,11
Alabama,11
Hawaii,
Mississippi,
