Category: All categories

Region,Can’t sleep: (2018)
Ohio,100
Arizona,74
Georgia,72
North Carolina,65
New York,63
California,61
Illinois,58
Texas,54
Pennsylvania,51
Florida,50
Maine,
New Hampshire,
Nebraska,
Montana,
West Virginia,
Louisiana,
Nevada,
Maryland,
Arkansas,
Washington,
Utah,
Oklahoma,
Mississippi,
Tennessee,
South Carolina,
Michigan,
New Jersey,
Wisconsin,
Alabama,
Virginia,
Oregon,
Minnesota,
Alaska,
New Mexico,
North Dakota,
Missouri,
Massachusetts,
Kentucky,
Kansas,
Rhode Island,
Indiana,
South Dakota,
Idaho,
Iowa,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Connecticut,
Colorado,
Wyoming,
