Category: All categories

Region,carbon monoxide poisoning: (2016)
Maine,100
Alaska,98
Idaho,90
Montana,87
Nebraska,84
Vermont,80
Utah,76
Michigan,74
Arkansas,71
North Dakota,71
New Mexico,71
Colorado,69
Wisconsin,68
Delaware,68
Rhode Island,67
Minnesota,64
New Hampshire,63
Oklahoma,62
West Virginia,62
Indiana,60
Pennsylvania,60
Kansas,59
Missouri,58
Ohio,58
Iowa,57
Kentucky,56
Illinois,50
Wyoming,50
Maryland,48
Massachusetts,48
Virginia,48
Tennessee,48
Hawaii,46
Washington,46
New Jersey,46
Connecticut,45
New York,45
North Carolina,45
District of Columbia,43
Alabama,43
Oregon,42
Louisiana,42
Mississippi,41
Georgia,40
Nevada,37
South Dakota,37
Florida,35
Arizona,35
California,32
Texas,31
South Carolina,31
