Category: All categories

Region,child abuse: (2016)
Pennsylvania,100
Iowa,58
New Mexico,56
Nebraska,51
Oklahoma,51
Delaware,50
West Virginia,49
Arkansas,47
Wyoming,47
Oregon,46
Mississippi,46
Missouri,45
Kentucky,45
Vermont,44
South Dakota,44
Montana,43
North Dakota,41
Maine,40
Idaho,39
Kansas,39
Colorado,39
Tennessee,38
Alabama,38
Indiana,37
Utah,37
Alaska,37
Wisconsin,36
New Hampshire,36
California,36
Maryland,35
Arizona,34
Rhode Island,32
South Carolina,32
District of Columbia,32
New York,31
Texas,31
North Carolina,31
Virginia,31
Hawaii,31
Nevada,30
Louisiana,30
Florida,30
Minnesota,29
New Jersey,29
Michigan,29
Washington,28
Illinois,28
Ohio,28
Connecticut,27
Georgia,27
Massachusetts,23
