Category: All categories

Region,cigarettes: (2021)
West Virginia,100
Ohio,92
Missouri,89
Kentucky,88
Delaware,88
Oregon,87
Nevada,85
Illinois,84
Arkansas,83
Oklahoma,82
Pennsylvania,81
Indiana,81
Maryland,81
North Carolina,81
North Dakota,80
Rhode Island,80
Colorado,79
Louisiana,78
New Hampshire,77
Alaska,76
South Dakota,76
Vermont,75
South Carolina,75
Michigan,75
Wyoming,75
Maine,74
New Mexico,74
Tennessee,74
Wisconsin,73
Massachusetts,72
California,72
Alabama,71
District of Columbia,71
Georgia,71
Arizona,71
Minnesota,70
Idaho,70
Connecticut,69
Iowa,69
Mississippi,69
Virginia,68
Nebraska,68
Kansas,67
Florida,66
Washington,65
New Jersey,65
Texas,65
Montana,65
New York,64
Hawaii,59
Utah,53
