Year,State,therapy_near_me,no_friends,kill_myself,self_harm,feeling_alone,suicide,sin,hate_myself,divorce,fitting_in,kill_yourself,jesus,bullying,lonely,guilty,feeling_sad,suicide_hotline,i_hate_my_parents,hope,cant_sleep,eating_disorder,therapy,faith,abusive_parents,i_want_to_die,coping_with_stress,depression,cutting,school_stress,hell
2004,Alabama,0,0.0,13.0,0.0,0.0,60,63.0,0.0,93,100.0,22.0,89,11.0,46,70.0,0.0,0.0,0.0,54,0.0,73.0,77,89,0.0,29.0,0.0,68,56,28.0,80
2004,Alaska,0,28.0,0.0,0.0,0.0,97,54.0,0.0,67,0.0,0.0,59,53.0,88,61.0,0.0,0.0,0.0,60,0.0,62.0,65,48,0.0,0.0,0.0,69,81,0.0,80
2004,Arizona,0,4.0,7.0,0.0,0.0,74,66.0,9.0,83,11.0,24.0,65,35.0,54,43.0,0.0,15.0,0.0,38,0.0,35.0,78,59,0.0,11.0,59.0,54,54,0.0,68
2004,Arkansas,0,0.0,0.0,0.0,0.0,77,51.0,0.0,100,0.0,0.0,96,32.0,42,93.0,0.0,0.0,0.0,66,0.0,67.0,81,77,0.0,0.0,100.0,82,55,0.0,80
2004,California,0,13.0,5.0,4.0,3.0,68,65.0,14.0,71,12.0,16.0,57,19.0,64,71.0,4.0,8.0,47.0,45,0.0,44.0,67,51,12.0,34.0,6.0,51,49,9.0,66
2004,Colorado,0,5.0,0.0,7.0,0.0,73,59.0,13.0,94,22.0,5.0,59,27.0,64,40.0,0.0,12.0,0.0,39,0.0,73.0,80,59,0.0,13.0,0.0,59,64,18.0,63
2004,Connecticut,0,18.0,0.0,0.0,46.0,76,63.0,24.0,69,18.0,25.0,51,46.0,62,86.0,0.0,12.0,0.0,51,0.0,87.0,79,62,0.0,79.0,20.0,67,59,17.0,78
2004,Delaware,63.0,100.0,0.0,0.0,0.0,66,59.0,0.0,78,0.0,100.0,52,29.0,47,0.0,0.0,0.0,0.0,68,0.0,48.0,91,56,0.0,0.0,0.0,52,68,0.0,80
2004,District of Columbia,0,4.0,7.0,0.0,0.0,62,58.0,0.0,82,21.0,24.0,61,22.0,73,63.0,0.0,6.0,0.0,48,0.0,49.0,65,63,0.0,32.0,0.0,51,44,25.0,63
2004,Florida,0,13.0,4.0,6.0,0.0,64,65.0,7.0,75,15.0,16.0,59,21.0,46,57.0,0.0,0.0,0.0,37,100.0,45.0,65,57,7.0,36.0,14.0,46,50,13.0,71
2004,Georgia,0,6.0,0.0,6.0,9.0,60,58.0,9.0,86,0.0,33.0,63,33.0,50,58.0,0.0,5.0,61.0,66,0.0,44.0,63,67,0.0,15.0,11.0,58,50,18.0,66
2004,Hawaii,0,26.0,26.0,0.0,0.0,69,48.0,36.0,77,0.0,23.0,63,0.0,100,100.0,0.0,0.0,0.0,76,0.0,58.0,78,66,0.0,0.0,0.0,50,47,36.0,83
2004,Idaho,0,42.0,0.0,0.0,0.0,60,39.0,38.0,68,61.0,0.0,71,36.0,47,29.0,0.0,64.0,0.0,48,0.0,0.0,71,68,0.0,0.0,0.0,58,76,0.0,88
2004,Illinois,0,8.0,4.0,6.0,10.0,65,57.0,6.0,72,16.0,20.0,60,37.0,53,48.0,4.0,5.0,74.0,42,0.0,56.0,67,55,0.0,36.0,13.0,61,58,13.0,70
2004,Indiana,0,0.0,0.0,0.0,20.0,78,69.0,50.0,92,35.0,12.0,88,47.0,65,47.0,24.0,0.0,0.0,48,0.0,61.0,73,73,0.0,64.0,0.0,73,63,29.0,79
2004,Iowa,37.0,41.0,14.0,21.0,0.0,78,53.0,18.0,77,44.0,20.0,71,56.0,55,67.0,0.0,0.0,0.0,47,0.0,67.0,85,78,100.0,0.0,0.0,90,66,22.0,78
2004,Kansas,0,0.0,0.0,0.0,49.0,76,58.0,15.0,84,32.0,0.0,75,37.0,51,29.0,0.0,0.0,0.0,50,0.0,42.0,79,72,0.0,53.0,0.0,75,61,0.0,94
2004,Kentucky,0,40.0,0.0,0.0,47.0,75,44.0,22.0,85,74.0,0.0,100,59.0,42,69.0,0.0,0.0,0.0,50,0.0,31.0,98,73,0.0,0.0,0.0,72,67,0.0,85
2004,Louisiana,0,0.0,28.0,0.0,0.0,72,65.0,35.0,78,0.0,35.0,87,35.0,51,91.0,0.0,0.0,0.0,44,0.0,47.0,93,75,0.0,46.0,0.0,62,58,35.0,69
2004,Maine,0,20.0,20.0,0.0,0.0,92,49.0,100.0,60,0.0,18.0,47,29.0,78,25.0,0.0,33.0,0.0,47,0.0,80.0,96,61,0.0,0.0,0.0,82,78,0.0,83
2004,Maryland,0,16.0,10.0,7.0,0.0,67,65.0,12.0,76,14.0,16.0,62,24.0,50,66.0,0.0,8.0,0.0,50,0.0,67.0,77,68,23.0,46.0,20.0,61,47,12.0,70
2004,Massachusetts,0,13.0,8.0,0.0,12.0,73,57.0,21.0,63,0.0,16.0,51,33.0,67,52.0,8.0,7.0,0.0,44,0.0,79.0,76,52,15.0,49.0,0.0,54,57,10.0,69
2004,Michigan,0,13.0,6.0,9.0,10.0,83,60.0,18.0,78,9.0,23.0,69,42.0,52,52.0,0.0,7.0,0.0,64,0.0,63.0,67,72,0.0,87.0,10.0,75,69,12.0,83
2004,Minnesota,0,5.0,6.0,12.0,0.0,75,55.0,0.0,69,0.0,13.0,62,43.0,55,50.0,0.0,7.0,0.0,60,0.0,67.0,75,64,0.0,76.0,20.0,76,69,20.0,66
2004,Mississippi,0,43.0,0.0,0.0,0.0,63,83.0,0.0,83,0.0,0.0,94,0.0,50,48.0,0.0,22.0,0.0,51,0.0,74.0,92,100,0.0,0.0,0.0,77,60,0.0,92
2004,Missouri,0,6.0,0.0,6.0,25.0,73,57.0,0.0,81,11.0,27.0,78,34.0,53,58.0,0.0,3.0,0.0,46,0.0,49.0,81,67,17.0,0.0,37.0,68,66,16.0,83
2004,Montana,0,0.0,100.0,86.0,0.0,95,50.0,59.0,72,0.0,0.0,44,38.0,74,43.0,0.0,31.0,0.0,49,0.0,0.0,99,66,0.0,0.0,0.0,91,96,0.0,100
2004,Nebraska,0,0.0,13.0,35.0,0.0,78,62.0,39.0,89,0.0,34.0,78,74.0,54,53.0,0.0,38.0,0.0,50,0.0,96.0,91,83,0.0,0.0,0.0,72,60,0.0,59
2004,Nevada,0,34.0,21.0,0.0,0.0,71,100.0,0.0,83,0.0,0.0,61,20.0,50,90.0,100.0,19.0,0.0,37,0.0,90.0,63,63,0.0,0.0,0.0,48,53,47.0,85
