Category: All categories

Region,coming out: (2006)
West Virginia,100
New Mexico,85
Maine,85
Mississippi,82
Delaware,79
Alabama,78
Kentucky,77
South Dakota,76
Louisiana,76
Michigan,76
Nebraska,74
Utah,74
Alaska,74
South Carolina,73
New York,71
North Carolina,71
Ohio,70
Pennsylvania,70
New Jersey,70
Georgia,70
Montana,70
Maryland,68
Illinois,68
Connecticut,68
Florida,67
North Dakota,67
Minnesota,65
District of Columbia,64
Texas,62
Nevada,61
Rhode Island,61
Arizona,61
Virginia,60
Massachusetts,60
Tennessee,60
New Hampshire,60
Kansas,59
Wyoming,59
Wisconsin,57
Idaho,56
Vermont,56
Hawaii,56
Arkansas,55
California,55
Missouri,54
Indiana,53
Colorado,52
Iowa,51
Washington,50
Oregon,50
Oklahoma,48
