Category: All categories

Region,common ways to die: (2017)
Alaska,
North Dakota,
Rhode Island,
Maryland,
Indiana,
Oklahoma,
Alabama,
Oregon,
District of Columbia,
Georgia,
Colorado,
Missouri,
Minnesota,
Wisconsin,
California,
Illinois,
Tennessee,
Pennsylvania,
Massachusetts,
New York,
Washington,
North Carolina,
Michigan,
Virginia,
Texas,
Arkansas,
Arizona,
Connecticut,
Delaware,
Florida,
Hawaii,
Iowa,
Idaho,
Kansas,
Kentucky,
Louisiana,
Maine,
Mississippi,
Montana,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Ohio,
South Carolina,
South Dakota,
Utah,
Vermont,
West Virginia,
Wyoming,
