Category: All categories

Region,conversion therapy: (2020)
Utah,100
Alaska,93
Kentucky,87
North Dakota,79
Minnesota,76
Idaho,72
District of Columbia,69
Montana,63
Iowa,63
Oklahoma,62
Oregon,62
Connecticut,62
West Virginia,62
Wisconsin,59
Virginia,58
New Hampshire,56
Vermont,52
Washington,52
Colorado,52
South Dakota,52
Indiana,51
Missouri,51
Massachusetts,50
Maine,50
New Jersey,50
Arizona,50
Nebraska,50
Tennessee,48
Michigan,48
Ohio,48
Pennsylvania,48
Kansas,48
Illinois,47
Maryland,47
North Carolina,45
Nevada,43
Rhode Island,43
California,41
New York,41
Texas,40
Florida,40
Alabama,37
Georgia,37
South Carolina,37
New Mexico,36
Louisiana,36
Hawaii,34
Arkansas,31
Delaware,31
Wyoming,30
Mississippi,27
