Category: All categories

Region,Coping with stress: (2007)
Iowa,100
Wisconsin,52
New Mexico,46
Oklahoma,43
Kentucky,40
Michigan,39
South Carolina,35
New Jersey,35
Utah,30
North Carolina,29
Arizona,26
Pennsylvania,26
Florida,25
Tennessee,23
Minnesota,23
Indiana,23
Connecticut,21
Oregon,20
New York,19
Ohio,19
Kansas,19
Virginia,18
Texas,17
Washington,16
Georgia,15
Colorado,15
California,14
Illinois,12
Massachusetts,10
Vermont,
South Dakota,
Wyoming,
New Hampshire,
Maine,
Hawaii,
District of Columbia,
Mississippi,
Nevada,
Nebraska,
Rhode Island,
North Dakota,
Montana,
Missouri,
Maryland,
Louisiana,
Idaho,
Delaware,
Arkansas,
Alabama,
West Virginia,
Alaska,
