Category: All categories

Region,crazy ex: (2015)
California,100
North Dakota,92
New York,92
District of Columbia,92
Rhode Island,89
Hawaii,84
Illinois,76
Massachusetts,72
West Virginia,70
Mississippi,70
Maryland,70
South Dakota,69
Arizona,69
Wisconsin,69
Louisiana,69
New Mexico,67
Nevada,67
Missouri,66
New Jersey,64
Kentucky,64
North Carolina,64
Alaska,64
Maine,64
Colorado,64
Pennsylvania,64
Iowa,63
Washington,63
Minnesota,61
Georgia,61
Connecticut,60
Texas,58
South Carolina,58
Alabama,56
Tennessee,56
Ohio,55
Kansas,53
Oklahoma,53
Michigan,53
Florida,52
Nebraska,52
Arkansas,52
Utah,52
Indiana,49
Montana,49
Idaho,46
Vermont,41
Virginia,41
New Hampshire,38
Oregon,36
Wyoming,
Delaware,29
