Category: All categories

Region,Cutting: (2011)
Maine,100
Montana,99
Wyoming,99
Idaho,98
South Dakota,96
North Dakota,95
Vermont,95
North Carolina,94
Oregon,94
Wisconsin,94
New Hampshire,91
Alaska,88
Washington,87
Hawaii,85
Colorado,82
Missouri,82
Ohio,81
Michigan,81
Pennsylvania,81
Minnesota,80
New Mexico,80
Rhode Island,79
Tennessee,79
Utah,78
Texas,78
Oklahoma,78
Maryland,78
Mississippi,78
Virginia,78
Nebraska,76
Arizona,76
Connecticut,76
Kansas,76
West Virginia,75
Arkansas,75
Indiana,74
Massachusetts,74
Iowa,73
Illinois,73
Kentucky,73
Delaware,73
South Carolina,72
New Jersey,71
Alabama,71
Louisiana,71
Nevada,69
New York,67
California,67
Georgia,67
Florida,64
District of Columbia,55
