Category: All categories

Region,depression: (2004)
Wyoming,100
Vermont,93
Montana,91
Iowa,90
North Dakota,85
South Dakota,84
Maine,82
Arkansas,82
Wisconsin,77
Mississippi,77
Minnesota,76
New Mexico,75
Michigan,75
Kansas,75
Rhode Island,73
Indiana,73
Nebraska,72
Kentucky,72
West Virginia,71
Alaska,69
Alabama,68
Missouri,68
Connecticut,67
Pennsylvania,67
Tennessee,66
Ohio,65
Oregon,64
North Carolina,64
Utah,64
New Jersey,64
South Carolina,63
New Hampshire,62
Louisiana,62
Illinois,61
Maryland,61
New York,60
Washington,60
Colorado,59
Oklahoma,59
Idaho,58
Georgia,58
Virginia,55
Massachusetts,54
Arizona,54
Delaware,52
Texas,52
California,51
District of Columbia,51
Hawaii,50
Nevada,48
Florida,46
